pact1,pact2,pact3,pact4,pact5,pact6,pact7,pact8,pact9,pact10,pact11,pact12,pact13,pact14,pact15,pact16,pact17,pact18,pact19,pact20,pact21,pact22,pact23,pact24,pact25,pact26,pact27,pact28,pact29,pact30,pact31,pact32,pact33,pact34,pact35,pact36,pact37,pact38,pact39,pact40,pact41,pact42,pact43,pact44,pact45,pact46,pact47,pact48,pact49,pact50,pact51,pact52,pact53,pact54,pact55,pact56,pact57,pact58,pact59,pact60,pact61,pact62,pact63,pact64,pact65,pact66,pact67,pact68,pact69,pact70,pact71,pact72,pact73,pact74,pact75,pact76,pact77,pact78,pact79,pact80,pact81,pact82,pact83,pact84,pact85,pact86,pact87,pact88,pact89,pact90,pact91,pact92,pact93,pact94,pact95,pact96,pact97,pact98,pact99,pact100,pact101,pact102,pact103,pact104,pact105,pact106,pact107,pact108,pact109,pact110,pact111,pact112,pact113,pact114,pact115,pact116,pact117,pact118,pact119,pact120,pact121,pact122,pact123,pact124,pact125,pact126,pact127,pact128,pact129,pact130,pact131,pact132,pact133,pact134,pact135,pact136,pact137,pact138,pact139,pact140,pact141,pact142,pact143,pact144
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,4,20,20,20,20,20,20,19,19,19,43,43,43,11,11,11,11,11,11,11,43,43,43,43,43,43,43,43,43,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,43,43,43,43,43,43,43,43,43,3,3,1,1,1,1
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,43,43,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,22,22,22,22,22,22,5,5,4,29,29,29,29,29,29,29,29,29,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,43,43,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,20,20,20,20,20,20,20,20,20,20,20,20,4,4,44,44,19,19,19,19,44,44,2,2,2,2,2,2,2,2,2,2,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,5,5,5,4,4,4,4,5,5,41,41,15,15,15,15,15,15,15,15,41,41,20,20,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,3,3,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,24,24,24,24,24,24,24,24,24,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,15,15,15,15,4,4,4,51,51,3,3,3,3,3,3,3,3,23,23,23,45,45,27,27,27,27,27,27,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,45,45,45,45,45,45,23,23,23,45,20,20,20,20,20,5,5,5,4,4,4,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,2,2,55,19,55,6,20,20,75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,55,5,4,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,54,18,18,55,4,4,4,4,4,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,3,3,3,3,3,3,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,5,5,4,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,21,21,21,21,21,21,21,4,23,3,23,53,53,11,11,11,11,11,11,11,11,11,11,11,11,53,53,3,3,23,23,5,4,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,54,19,55,5,5,5,5,5,2,2,2,2,4,4,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,5,4,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,20,20,20,4,4,23,23,23,23,23,23,23,23,23,23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,3,43,43,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,45,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,45,45,45,4,4,4,4,20,20,20,20,20,20,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
